"state","month","year","generation_mu"
"Puducherry","November","2025","1.02"
"Punjab","November","2025","110.74187"
"Rajasthan","November","2025","4418.505075"
"Sikkim","November","2025","0"
"Tamil Nadu","November","2025","1291.18"
"Telangana","November","2025","591.638"
"Tripura","November","2025","0.590708"
"Uttar Pradesh","November","2025","423.599"
"Uttarakhand","November","2025","27.65"
"West Bengal","November","2025","35.344"
"??????? ??? ???????/ Andaman & Nicobar","November","2025","1.55"
"?????/ Odisha","November","2025","80.804"
"??????/ Chandigarh","November","2025","0.42"
"????????? /Lakshadweep","November","2025","0.007643"
"Andhra Pradesh","December","2025","718.41"
"Arunachal Pradesh","December","2025","0.127"
"Assam","December","2025","28.685"
"Bihar","December","2025","21.319"
"Chhattisgarh","December","2025","186.412732"
"Dadra and Nagar Haveli and Daman and Diu","December","2025","1.690492"
"Delhi","December","2025","17.211"
"Goa","December","2025","4.759"
"Gujarat","December","2025","2195.09"
"Haryana","December","2025","164.31"
"Himachal Pradesh","December","2025","17.3"
"Jammu & Kashmir","December","2025","0"
"Jharkhand","December","2025","1.47"
"Karnataka","December","2025","2036.042"
"Kerala","December","2025","191.96"
"Ladakh","December","2025","0"
"Madhya Pradesh","December","2025","901.3495"
"Maharashtra","December","2025","1051.21"
"Manipur","December","2025","0.714"
"Meghalaya","December","2025","0"
"Mizoram","December","2025","1.9054"
"Nagaland","December","2025","0"
"Puducherry","December","2025","1.02"
"Punjab","December","2025","84.864788"
"Rajasthan","December","2025","4564.38"
"Sikkim","December","2025","0"
"Tamil Nadu","December","2025","1630.79"
"Telangana","December","2025","632.155"
"Tripura","December","2025","0.537069"
"Uttar Pradesh","December","2025","353.767"
"Uttarakhand","December","2025","27.65"
"West Bengal","December","2025","30.051"
"??????? ??? ???????/ Andaman & Nicobar","December","2025","1.55"
"?????/ Odisha","December","2025","79.419"
"??????/ Chandigarh","December","2025","0.67"
"????????? /Lakshadweep","December","2025","0.007643"
"Andhra Pradesh","January","2026","789.37"
"Arunachal Pradesh","January","2026","0.088"
"Assam","January","2026","28.685"
"Bihar","January","2026","27.2705"
"Chhattisgarh","January","2026","193.15"
"Dadra and Nagar Haveli and Daman and Diu","January","2026","1.690492"
"Delhi","January","2026","17.211"
"Goa","January","2026","4.759"
"Gujarat","January","2026","2940.8945"
"Haryana","January","2026","164.31"
"Himachal Pradesh","January","2026","15.54"
"Jammu & Kashmir","January","2026","0"
"Jharkhand","January","2026","1.47"
"Karnataka","January","2026","1678.06"
"Kerala","January","2026","262.0344"
"Ladakh","January","2026","0"
"Madhya Pradesh","January","2026","848.302"
"Maharashtra","January","2026","1020.17"
"Manipur","January","2026","0.714"
"Meghalaya","January","2026","0"
"Mizoram","January","2026","1.9054"
"Nagaland","January","2026","0"
"Puducherry","January","2026","1.02"
"Punjab","January","2026","77.071225"
"Rajasthan","January","2026","4955.93"
"Sikkim","January","2026","0"
"Tamil Nadu","January","2026","1683.11"
"Telangana","January","2026","603.268"
"Tripura","January","2026","0.525769"
"Uttar Pradesh","January","2026","386.376"
"Uttarakhand","January","2026","27.65"
"West Bengal","January","2026","35.482"
"??????? ??? ???????/ Andaman & Nicobar","January","2026","1.55"
"?????/ Odisha","January","2026","86.381"
"??????/ Chandigarh","January","2026","0.67"
"????????? /Lakshadweep","January","2026","0.007643"
"Andhra Pradesh","February","2026","953.91"
"Arunachal Pradesh","February","2026","0.076"
"Assam","February","2026","28.685"
"Bihar","February","2026","30.390155"
"Chhattisgarh","February","2026","199.626"
"Dadra and Nagar Haveli and Daman and Diu","February","2026","1.690492"
"Delhi","February","2026","17.211"
"Goa","February","2026","4.759"
